seqname,tax_id
637699986,Methanosarcina
637846053,Methanosphaera
637897861,Methanospirillum
637958706,Methanococcoides
638156010,Methanobacterium
638165622,Methanosarcina
638168004,Methanopyrus
638179331,Methanosarcina
638202402,Methanocaldococcus
639699825,Methanosaeta
640098726,Methanocorpusculum
640115244,Methanoculleus
640166796,Methanococcus
640593022,Methanobrevibacter
640787055,Methanococcus
640788790,Methanococcus
640793924,Methanococcus
640867749,Methanoregula
641283042,Methanococcus
643568979,Methanosphaerula
644140771,Methanobrevibacter
644970699,Methanocaldococcus
646366814,Methanocaldococcus
646533252,Methanobrevibacter
646624175,Methanocaldococcus
646706740,Methanohalophilus
646777731,Methanocaldococcus
646860123,Methanococcus
648056356,Methanohalobium
648150479,Methanothermobacter
648195182,Methanoplanus
649738419,Methanothermus
650750185,Methanobacterium
650797331,Methanosaeta
650870369,Methanobacterium
650917489,Methanothermococcus
2502870212,Methanosalsum
2505968306,Methanocella
2505972683,Methanocella
2506476674,Methanoplanus
2506712907,Methanotorris
2506713758,Methanotorris
2507145969,Methanofollis
2507462353,Methanolinea
2509039618,Methanoregula
2509661892,Methanomethylovorans
2511671135,Methanococcus
2512009929,Methanosaeta
2512784354,Methanocella
2515107166,Methanolobus
2515322406,Methanosarcinales
2516847841,Methanobacterium
2517128581,Methanocaldococcus
2518788432,Methanoflorens
2519472731,Methanolobus
2519842275,Methanothermococcus
2519842315,Methanothermococcus
2519842908,Methanothermococcus
2519843056,Methanothermococcus
2520801692,Methanobacterium
2525334458,Methanocorpusculum
2540563010,Methanosarcina
2540643896,Methanoculleus
2540853248,Methanobrevibacter
2547220888,Methanobrevibacter
2553937824,Methanobrevibacter
2556226570,Methanocaldococcus
